Name of document,Page no.,Text
PLA Module for ASHA_English,5,"PARTICIPATORY LEARNING AND ACTION (PLA)  | 5Meet-
ing 
No.Content Objective Methods Materials/ 
Tools Used In 
MeetingKey Issues covered
6. Exploring 
and choos-ing appropri-ate strate-giesTo identify strat-•	
egies arising out of the solutions from the previ-ous meetingBridge game Bricks, wood-en planks, strips of white paper, chart with list of solution, pen and notebookDesigning community based strate-•	
gies to address the prioritized prob-lems and solutions
7. Taking re-sponsibilities for imple-mentation of selected strategiesParticipants to •	
take responsibili-ties for imple-mentation
To plan for a •	
large community 
meeting Intractive discussionList of strate-gies, formats, strategies im-plementation format, chart paper, pen and notebookTaking responsibilities to make sure the •	
strategies are implemented as planned
Tracking progress of implementation •	
of strategiesPlaning of sharing with the larger com-•	
munity and all other stakeholders that 
they have learnt in the past few months
8. Community 
meeting 1To solicit support •	
of stakeholders for implementa-tion of strategiesStreet play, story telling, picture card discussion, song, dances Locally avail-able resources for decoration & material used in previ-ous meetings, script for story and list of strategies Taking responsibilities for implement-•	
ing the strategies that they have decided together
Understanding the purpose of sharing •	
the group’s activities with the larger 
community for soliciting support
9. Improving 
nutritional 
status of 
women To understand •	
the underly-
ing causes for 
maternal under 
nutrition in 
women  
To identify pos-•	
sible strategies 
for improving 
nutritional status 
of womenStory telling 
and “chain 
game”Strategies im-
plementation 
format, script 
for story, story 
based picture 
card, colored 
ribbons, cut-
out of woman, 
pen and 
notebookLearning about causes for anaemia •	
and other nutritional deficiencies in 
women
Identifying strategies to prevent anae-•	
mia and improve nutrition among 
pregnant mothers and adolescent 
girls
10. Complica-
tions during pregnancy and deliveryTo identify •	
emergency and non-emergency problems in pregnancy
To discuss about •	
ways to respond 
to emergency/ non emergency problems and appropriate referralVoting with feet gameStrategies implementa-tion format, picture cards related to  complication during preg-nancy (ASHA module 6 & 7), Signage card, pen, and registerLearning about problems /complica-•	
tions in pregnancy 
Health services that can be accessed •	
in an emergency/non-emergency 
cases
11. Planning for safe birthTo discuss about •	
birth prepared-ness for preg-nant women
To prepare •	
the group to 
respond to emergencies during pregnan-cy, delivery and post-partum Sequencing gameStrategies im-plementation format, MCP card, mosqui-to net , veg-etable basket, delivery kit, TT injection, nischay kit ,If A 
tab and strip of deworming tabletsLearning about the importance of •	
birth preparedness
Discussing about what needs to be •	
done for birth preparedness Knowing about entitlements of •	
“Janani Suraksha Yojana” and “Janani 
Shishu Suraksha Karyakram”"
PLA Module for ASHA_English,6,"6 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAMeet-
ing 
No.Content Objective Methods Materials/ 
Tools Used In 
MeetingKey Issues covered
12. Newborn 
complica-tions and care prac-ticesTo help par - •	
ticipants to understand new born complica-tions and care practicesDemonstra-tionStrategies implementa-tion format, material used for hand washing , baby dummy, and cloth for wrapping and cleaning Learning about care for the newborn •	
that includes – hand washing, check -
ing the baby’s color and breathing, the 5 cleans, thermal care (skin-to-skin) and not giving pre-lacteals
13. Importance of postna-
tal care for 
mothers and 
new bornsTo discuss about •	
the importance 
and components 
of Post Natal 
Care
To explain about •	
your role as the 
ASHA in provid-
ing post natal careInteractive discussion using a case situationStrategies im-plementation format, pen and register  Learning about importance of postna-•	
tal care for mothers and newborn
Identifying danger signs in mothers •	
and newborns in the postnatal period 
and refer appropriately
Knowing about the role of ASHAs•	
14. Exclusive 
breastfeed-ing practicesTo understand •	
about the  importance of exclusive breast-feeding 
To understand •	
about position-
ing and attach-ment of baby while breast-feedingDemonstra-tionStrategies implementa-tion format, breastfeeding picture card, dummy of a baby, chart paper, pen and register  Learning about right positioning of •	
baby and right attachment to the breast
Learning about the importance of •	
exclusive breastfeedingLearning about difficulties with breast-•	
feeding and how to assess if the baby 
is getting enough milk
15. Manage-ment of high risk babiesTo understand •	
causes, pre-vention and management of hypothermia
To discuss •	
management of 
twins and low birth weight babiesRole play and demon-strationStrategies implementa-tion format, script for role play, delivery kit, clean cot-ton cloth for demonstrat-ing wiping and wrap-ping, dummy of a baby, chart paper, pen, and registerLearning about caring for the low •	
birth weight babies
Learning about causes, prevention •	
and management of low birth weight 
babies
16. Identifica-tion and classification of neonatal infection To identify •	
newborns with sepsis (possible severe bacterial infections) and local infections  
To classify and •	
identify signs of 
infection Interactive discussion using picture cards and Oral drillStrategies implementa-tion format, Picture card specifying danger sign, list of ques-tions for game, note book and penLearning about the signs and symp-•	
toms of infections in the newborn , both local bacterial and severe bacte-rial infections
Learning about referrals to appropri-•	
ate facilities"
PLA Module for ASHA_English,7,"PARTICIPATORY LEARNING AND ACTION (PLA)  | 7Meet-
ing 
No.Content Objective Methods Materials/ 
Tools Used In 
MeetingKey Issues covered
17. Understand-
ing the im-
portance of 
Intergenera-
tional cycle  of 
Undernutri-
tion To develop an •	
understanding on undernutri-tion in mothers 
and childrenChart pres-entation and 
discussionStrategies im-
plementation 
format, flex of malnutri-
tion cycle, 
questions on current prac-
tices, pen and 
registerUnderstanding about the diverse •	
causes of undernutrition
Understanding the problem of under - •	
nutrition in the village
Knowing about the intergenerational •	
cycle of undernutrition and how it can 
be broken 
Learning about the importance of the •	
first 1000 days of life
Understanding the group’s percep-•	
tion of prevailing behaviour and prac-
tices related to nutrition and health 
among mothers and children under-2 years of age
Understanding about growth monitor - •	
ing, referral and follow up of under -
nourished children
18. Importance 
of timely in-
troduction of 
complemen-tary food To discuss about •	
the impor -
tance of ‘timely introduction of complementary 
food’ by organiz-
ing a ceremony
Demonstration •	
on enriching of 
local recipesPreparation of recipes 
and Initiation 
of comple-mentary 
foodStrategies im-
plementation 
format, list of 
infants aged 5-6 months,  
green leafy 
and other vegetables 
and varie-
ties of lentils, mixed sattu, 
bowl, pen and 
registerLearning about the importance of •	
timely introduction of complementary 
food
Learning about enrichment of local •	
recipes
19. Manage-
ment of diarrhoea To identify the •	
causes for child-hood diarrhoea
To discuss •	
strategies for 
prevention of 
diarrhoea
To discuss about •	
importance of 
immunizing 
childrenStory telling and demon-strationStrategies im-plementation format, script 
for story, story 
based picture cards, salt, 
sugar, spoon, 
glass, ORS packet( good 
and dam-
aged), note book and penLearning that feeding/breast feeding •	
must be continued during illness 
Learning that safe drinking water, •	
preferably boiled and cooled water 
must be used
Giving rehydration solutions from the •	
ASHA or AWC or homemade ORS 
when packet is not available
Washing hands with soap before •	
cooking and feeding childrenWashing hands with soap after def-•	
ecation
Keeping the cooking area clean•	
Immunizing children as per schedule•	
20. Manage-
ment of 
worm’s 
infestation  To identify caus-•	
es of worm’s in-
festation and its 
effect on growth of children
To discuss •	
strategies for its 
prevention
To discuss about •	
different kinds of 
worm’s and their 
transmission 
cycle Story telling and demon-
strationStrategies im-
plementation 
format, script 
for story and story based 
picture cards, 
transmission cycle chart, 
note book 
and penLearning that worm’s infestation can •	
lead to undernutrition and that the 
transmission cycle of worm’s can be 
broken
Learning about the different types of •	
worm’s that can cause ill health
Learning that feces should be dis-•	
posed properly and open defecation 
should be avoided"
PLA Module for ASHA_English,8,"8 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAMeet-
ing 
No.Content Objective Methods Materials/ 
Tools Used In 
MeetingKey Issues covered
21.Manage-
ment of 
Acute 
respiratory 
illness/infec-
tion (ARI)To identify the •	
causes for child-
hood respiratory illnesses/infec-
tion
To discuss •	
strategies for 
prevention of 
acute respiratory 
illness/infectionStory telling and demon-
strationStrategies im-
plementation 
format, script for story, story 
based picture 
cards, note book and penLearning about care for the child that •	
includes – hand washing and check -
ing baby’s breathing
Learning about importance of count-•	
ing respirationLearning to identify danger signs and •	
timely referral of children
22.Delaying 
early/adoles-
cent preg-nancies To understand the 
importance of pre-
venting early/ado-lescent  marriages 
and delaying the 
first pregnancyStorytelling/ 
role playStrategies im-plementation 
format, script for story, story 
based picture 
cards, sample of available 
contracep-
tives, note 
book and penLearning about risks of adolescent/•	
early pregnancy
Knowing about availability and acces-•	
sibility of contraceptives Knowing about the importance of •	
engaging with youth to prevent early 
marriages
Engaging and influencing other stake-•	
holders to address social pressure
23.Access to 
safe abortion services To discuss about •	
safe abortion practices
To know about •	
available and ac-
cessible services for safe abortionStorytelling 
using picture cards/role 
playStrategies im-
plementation format, script 
for story, story based picture 
cards, note 
book and penLearning about complications caused •	
by unsafe abortion
Learning that abortion is legal and no •	
permission is required up to 20 weeks 
of pregnancy
Knowing that this service is available •	
free of cost at the Government facili-
ties
24.Prevention 
and man-
agement of 
RTI/STI and 
HIV/AIDSTo discuss about •	
RTI and STI
To sensitize-•	
members on 
HIV/AIDSGame, story 
telling, use 
of flipchartStrategies 
implementa-
tion format, 
flipchart, card 
with ‘Yes’ and 
‘No’, picture 
card sized 
paper, note book and penLearning about reproductive tract •	
infection and sexually transmitted 
infections and its prevention and 
management
Knowing about HIV/AIDS and how it is •	
transmitted and its preventionKnowing about health services avail-•	
able for the above conditions
25.Prevention 
and man-
agement of 
tuberculosisTo discuss about •	
prevention and 
management of 
tuberculosisStory telling, Strategies im-plementation 
format, script 
for story, story based picture 
cards, note 
book and penLearning how tuberculosis is transmit-•	
ted and how it can be prevented
Identifying the disease and impor - •	
tance of taking medicines regularly
Learning about multi drug resistant •	
tuberculosis
26.Prevention 
and man-agement of 
malariaTo discuss the •	
causes of  and its  
prevention and 
management of 
malaria
To help mem-•	
bers to identify 
mosquito breed-
ing sitesStory telling and transect walk and 
discussionStrategies im-
plementation format, script 
for story, story 
based picture 
cards, glass, 
note book 
and penLearning how malaria is caused and •	
how it can be prevented and man-
aged
About individual and community •	
responsibilities to prevent malaria"
PLA Module for ASHA_English,9,"PARTICIPATORY LEARNING AND ACTION (PLA)  | 9Meet-
ing 
No.Content Objective Methods Materials/ 
Tools Used In 
MeetingKey Issues covered
27. Addressing 
violence against 
women To understand •	
the concepts of 
sex and gender 
and learn to 
distinguish be-tween the two. 
To help the par - •	
ticipants realize 
the existence of violence at dif-
ferent stages all  
through the life cycle of womenRole play and interac-tive discus-
sion using 
flexStrategies im-plementation format, chart 
paper, marker, 
flex depicting the life cycle 
of violence in 
women lives, script for role 
play/skit, note 
book and penLearning to differentiate between sex •	
and gender and about patriarchy 
Realizing the existence of violence •	
at different stages althrough the life 
cycle of women
Understanding how violence against •	
women can be prevented
28. Planning for 
the cluster 
community 
meeting To identify repre-•	
sentatives from each group to be 
involved in the planning meet-
ing at the cluster 
level for organiz-ing cluster/sector 
level communit-
ymeeting
To prepare a •	
tentative list of 
activities and methods of dis-semination for 
the cluster/sec-
tor level commu-nity meetingInteractive discussion 
and respon-
sibility shar -
ing among 
groupsChart paper, 
marker, note 
book, pen and 
list of strate-giesLearning to organize a larger commu-•	
nity meeting involving members from 
many villages from a particular cluster 
Coming together to address a com-•	
mon problems in the village/com-
munity
29. Cluster community 
meetingTo share the •	
progress of the implementation 
of strategies with the wider com-
munity
To encourage  •	
members to 
continue with 
the strategies and share the 
learning with 
other commu-
nity membersStreet play, 
story telling, 
picture card 
discussion, song, dance, 
puppetry etc. Problem pic-
ture cards, list 
of strategies, 
local available resources 
for decora-
tion, script for story, pen and 
notebookUnderstanding that the learning •	
from the PLA cycle needs to be taken forward and continued in future as an 
ongoing process.
Understanding about the forums •	
where these discussions of health 
worker’s role can be continued
30. Evaluation of activities by 
the groupsTo discuss about •	
activities and achievements of 
the members
To discuss about •	
the way forwardGame Pictures of 
different 
methods, pen, 
notebook, pebblesfinding ways for holding the gains •	
from these meetings
Strategies to further improve the •	
health status of the community
Deliberate on taking the PLA process •	
forward to discuss newer and different 
thematic areas 
2.3 Organizing the PLA meeting
Every ASHA will organize one PLA meeting in her coverage area every month. The meetings should 
be organized in a manner that all community members find it convenient to attend the meeting.  
The meetings should be organized using the following principles:"
PLA Module for ASHA_English,10,"10 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAPrinciPLes oF PLa  Meetings
Venue of the meeting should be identified such that–  z
It is convenient for maximum people to attend the meeting specifically members  from •	
marginalized communities (e.g. distant hamlets). 
Venue of  the meetings can be changed to cover the entire population as per group’s •	
consensus.
Location should preferably be in an open space where people can join in freely (e.g. under •	
a tree or a ground).    
Participation of community members to be non-incentivised. z
Duration of meetings to last between one to two hours. z
PLA meetings should be open to all members of the community z
Method of discussion should be facilitation, not didactic or teaching. z
Supportive Mechanisms
ASHA facilitators will use monthly cluster meetings with ASHAs as a forum to introduce the PLA 1. 
methods. The cluster meetings will also be used to practice and plan for PLA meetings as well 
as to discuss issues in conducting PLA meetings. This meeting will provide an opportunity to incorporate feedback to improve the meeting  process further by bridging gaps and taking 
corrective action.
During the induction phase of PLA (first month), ASHA facilitator will conduct 20  meetings i.e, 2. 
one meeting per ASHA in the first month.In subsequent months (second month onwards), all ASHA facilitators will conduct 10 PLA 3. 
meetings with 10 different ASHAs in her supervision area. The remaining 10 ASHAs from the 
neighbouring villages/ areas would participate in these meetings led by ASHA facilitator as an observer/ learner Based on their observations, the 10 learner/ observer ASHAs will conduct 
meeting on the same topic in their coverage areas/ villages in the same month independently.  
The topic of PLA meeting will be same for all ASHAs under one ASHA facilitator in a month.
In the next month, ASHA facilitator would conduct meetings on the third topic in those 10 4. 
villages/ areas where ASHAs conducted meetings independently after observation in the 
second month. The remaining 10 ASHAs (in whose coverage area ASHA facilitator conducted 
the second meeting herself) will observe this third meeting in the neighbouring coverage area or village and conduct the same meeting in their own area in the same month independently. 
Over a period of two months, one facilitator will conduct 20 meetings, one meeting each with 
every ASHA in her supervision area.
ROLLING OUT OF PLA [‘ODD and EVEN’ arrangement]
This arrangement will help the ASHA facilitators to conduct PLA meetings with 10 ASHAs in her supervision area, while the remaining10 ASHAs will learn by observation. The steps involved in this 
arrangement are: 
for the first PLA meeting, the ASHA facilitator will conduct 20 meetings in her supervision  
area i.e, one meeting per ASHA. 
All the ASHAs  under the ASHA facilitators will be numbered.  "
PLA Module for ASHA_English,11,"PARTICIPATORY LEARNING AND ACTION (PLA)  | 11from the second PLA meeting, the ASHA facilitator will conduct 10 meetings in 10 ‘ODD’  
numbered ASHAs  (1, 3, 5, etc), while the ASHA will assist her and learn. 
The ‘EVEN’ numbered ASHAs will also attend the above meeting and learn on-the-job.    
The EVEN numbered ASHAs of the neighbouring villages/ areas after observing the meeting  
will conduct similar meeting in their villages/ coverage areas in the same month.
In the third month (meeting number 3), all ASHA facilitators will conduct 10 PLA meetings  
with the ‘EVEN’ numbered ASHAs (2, 4, 6, etc), while the ‘ODD’ numbered ASHAs will now 
observe and conduct meetings in their villages/ areas. 
Using this method over a period of two months, an ASHA facilitator would be able to conduct  
20 meetings, one meeting each with all ASHAs in her supervision area.This process will be repeated every month so that all ASHAs are supported directly by the  
ASHA facilitator. 
The support structures for Community Processes, at all levels will play an important role in 
mentoring the ASHA facilitators and ASHAs for implementation of PLA meetings.  The programme 
will be monitored during the regular field visits and review meetings at all levels. It is important 
for ASHA facilitators  to conduct regular review meetings with ASHAs, as an opportunity to incorporate feedback to improve further, bridge gaps and  take corrective action.
2.4  Who should be attending the Participatory Learning and Action 
meetings?
All community members should be invited to attend the PLA meeting, however, women of 
reproductive age particularly pregnant women and lactating women, newly married women and 
adolescent girls should be prioritized. Special efforts should also be made to ensure participation 
of individuals from marginalized households such as the poorest households or people living in the remote hamlets etc. ASHAASHAASHAASHA
ASHA
ASHA
ASHA
ASHA
ASHA
ASHA
ASHA
ASHAASHAASHA
ASHA
ASHA
ASHA
ASHA
ASHA
ASHA1234
5
6
7
8
9
10
11
12
1314151617181920
F"
PLA Module for ASHA_English,12,"12 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAParticipants  may also include all those who are involved in antenatal, delivery and postnatal care 
decision-making (for example, older women and men), other frontline health workers, local leaders 
and other stakeholders like VHSNC members, who have important roles to play in community decision 
making.
The number of members attending a meeting can vary. Since the group membership for PLA 
meetings on health issues is open to all, the total number of attendees will increase over the period 
of time. To ensure maximum participation, the optimum number of participants per meeting can range from 25-30. for meetings where the participants are less than 10, you along with other 
members can proactively go around the village to mobilize more people. If attendance is still very low, the meeting can be postponed to a more suitable time and date. 
2.5 General instructions before starting the cycle of PLA meetings
At the start of the first meeting, you will introduce yourself, and encourage all participants to introduce themselves, while ensuring that no one gets left out and discuss your new role as a PLA 
facilitator. 
Ask the group to talk about how they see their role as a member of the PLA group. Some examples include:
Attending meetings voluntarily 
Helping each other and the wider community 
Sharing their knowledge and experiences with others 
Listening to and respecting the opinions of others 
Making their own decisions 
Working together to solve problems 
2.6 . Guidelines to follow at the start and end of each meeting
at the start  oF each Meeting
Informally chat with the participants and other members of the community. z
Encourage the participants to sit together in a circle. z
Welcome the participants and thank them for coming.  z
Explain the purpose of meeting. z
at the end oF each Meeting
Summarize the learning from meeting. z
Ask the group members about what they liked or disliked about the meeting and what they  z
learnt.
Confirm the date, time and meeting place for the next meeting. z
Inform the group about the content of the next meeting. z
Informally chat with the participants and other members of the community.  z
Thank the participants for attending the meeting. z
Make sure all necessary information is noted down. z"
PLA Module for ASHA_English,13,"MEETINGS ON MATERNAL AND NEwbORN HEALTH  | 13MEETINGS ON MATERNAL 
AND NEWbORN HEALTH 3
MEETING 1
INTRODUCTION TO THE PLA INITIATIVE
PURPOSE OF THE MEETING
To introduce the PLA initiative, introduction of all the participants and self.1. 
To explain how we will work in the community. 2. 
To explain how this initiative will be approached.3. 
To discuss the benefits of working together as a group.4. 
MATERIALS REQUIRED: Bundle of sticks, pen and notebook.
TIME TAKEN: 1-2 HoursMETHOD: ‘Piggy Back’ and ‘Stick’ Game
METHOD FOR CONDUCTING MEETING
ACTIVITY 1:  Introduction  
Introduce yourself and also introduce any visitor from outside the village. z
Encourage all participants to introduce themselves, making sure that no one gets left out. z
ACTIVITY 2:  The ‘piggy back’ game: Explain that you will start the meeting with a simple game.
Ask 6 participants to volunteer for the game. 1. 
Divide them into 3 pairs. 2. 
Number the pairs 1, 2 and 3. Indicate a starting point and finish line and explain that all pairs 3. 
have to get from the start to the finish line. for each pair, ask one person to represent the 
community and the other to represent the Government schemes and programs.
Pair 1 will go first. Ask the person representing the Government schemes and programs to 4. 
kneel down on all fours and ask the person representing the community to straddle/ sit with 
one leg on either side (like riding) on her back.
Pair 2 will go next. Ask the person representing the Government schemes to stand in front of 5. 
the person representing the community, both looking in the same direction. Ask the one at the 
back (representing the community) to put her arms around her partner’s shoulders (representing government scheme). Participants carry the partner  on her back (piggy-back)."
PLA Module for ASHA_English,14,"14 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAPair 3 will go last. Ask this pair to walk to the finish line holding hands.6. 
  Pair 1        Pair 2    Pair 3
First discuss with the pairs about how they felt about the game …
How easy or difficult was it to move from the starting point to the finishing line? Which pair was most comfortable?
Now explain about how you plan to work in the community. 
Pair 1:   There are certain Government schemes and programmes that are meant for the people. 
But, if people become totally dependent on such  schemes/ programmes  and do not 
take responsibility , their situation may stay the same. (e.g. Attendance in Immunization 
camps or Village Health and Nutrition Day, etc.)
Pair 2:   There are certain other programmes that make communities partially dependent on the Government, and once they are withdrawn, people tend to revert to their old situation. (e.g. withdrawal of certain services by the state, e.g. ambulance services, services related 
to JSSK, etc.)
Pair 3:  Some programmes aim to help communities to help themselves where there is involvement 
of the community in the decisionmaking process and learning from them. (e.g. building 
of toilets where families need to contribute and Village Health Sanitation and Nutrition 
Committees (VHSNC).
Explain that from now onwards we will work like the third pair (walking hand-in hand). Discuss 
with other participants why it is important for them to understand that the Government and the 
community need to go together for maximum benefits.
the PLa  initiative
The PLA approach allows community to learn to identify and talk about the problems they   z
face and to be able to develop and implement strategies to address the problems they 
have identified. 
You will work alongside with community to help them explore for solutions within their own  z
local area and making the most of the available resources. The approach will use community-
level problem solving that will try to improve the status of the community especially women and children. This process also empowers women through working together as it allows all women 
to contribute in the community level activities who may otherwise have not participated. 
It is a slow but empowering process.  z"
PLA Module for ASHA_English,15,"MEETINGS ON MATERNAL AND NEwbORN HEALTH  | 15Explain that over the next few months the community will learn to participate in decision-making 
to identify and implement strategies  to resolve the common health problems of the community, 
through a series of monthly meetings under the PLA initiative.
The PLA cycle constitutes four phases: Phase 1:   Identify, discuss and prioritise problems: In this phase problems related to community 
health issues will be introduced by showing pictures to the participants that will make it 
easy for them to identify problems. Group members will then prioritise the problems that are most prevalent in their area. 
Phase 2:   Plan strategies: Group members will discuss solutions and feasible strategies to address 
prioritised problems. This phase will end with a community meeting to share identified 
problems and strategies with the larger community and other stakeholders (like VHSNC 
members and Panchayat representatives) to seek their support for implementation of the 
strategies.
Phase 3:   Implement strategies: Group members will implement their strategies and periodically 
review progress.
Phase 4:  Evaluate progress: Members will evaluate the success of the implementation of their strategies.
ACTIVITY 3: T he benefits of working together as a group
Explain that you will now discuss why working through community groups will be useful in this 
approach. Start with another game- ‘Stick game‘. 
Ask one group member (preferably woman) to come forward 
Give her/him one stick and ask her/him to break it – s/he will be able to break it easily. 
Now give her/him a bundle of sticks and ask her/him to hold them together and break    
them – this time s/he will not be able to break! 
The individual stick could be broken but the bundle of sticks could not be broken. Ask the group members to discuss about the game – was the individual stick or the bundle of sticks stronger? and why?
"
PLA Module for ASHA_English,16,"16 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAAsk the group to discuss the benefits of working together as a group. Some examples include:
Participants make friends and support one another in a group, they do not feel isolated.  
There is an informal support network which can help them to make difficult decisions.
They discuss and learn from each other about their experiences and rights. 
Group can generate more ideas than any individual working alone. 
Group can help to alleviate the effects of discrimination against women and allows them  to  
integrate in the community and be involved in decision-making. Women develop personal 
strengths and learn to value their role in the community, such as overcoming their fear of self-
expression that improves their self-esteem.
Working together as a group can reach a larger number of people and have a long lasting  
impact.Participants can learn to generate and manage resources.  
iMPortant  Messages For the P articiP ants
Government and the community need to work together for better health outcomes. z
PLA meetings will help communities to identify problems they face and develop as well as  z
implement strategies to resolve  the identified problems. 
You will work together to discuss possible solutions within the community, making the most  z
of the available resources. Learn about the importance of working together as a group.  z
concLUding the Meeting
Summarize all the discussions with the help of the participants. This way you can assess how  z
much the participants have understood. 
Encourage all participants to speak. Briefly tell them about the content of the next meeting to  z
discuss about social inequities. At the end you will finalize and fix a date for the next meeting and end the meeting. z
FroM the second Meeting onwards at the start  oF each Meeting yoU wiLL do 
a review  oF the activities oF the PrevioUs Meeting and this wiLL be terMed  
as activity  1
Ask all participants who were present in the previous meeting to raise their hands and make  z
a note of it.
Then ask them to share their learning with those who were not present in the previous  z
meetingHelp them to recall the games and important discussions from the previous meeting. z
You will now encourage the participants to actively take part in this meeting.  z"
PLA Module for ASHA_English,17,"MEETINGS ON MATERNAL AND NEwbORN HEALTH  | 17MEETING 2 
UNDERSTANDING SOCIAL INEQUITIES IN SOCIETY
PURPOSE OF THE MEETING
T o encourage participants to recall discussion points from the previous meeting. 1. 
To understand the need to include all sections of the society for all health related issues.2. 
MATERIALS REQUIRED: List of questions, chits representing characters for the game, pen and 
notebook.
TIME TAKEN: 1-2 Hours
METHOD: ‘Power Walk’ Game
WHO ARE THE MARGINALIZED PEOPLE?
People who are visible and can be easily reached are the ones who live in the most accessible 
parts in the village. They are also more likely to be educated and better off. In most villages, there 
are others who may belong to one of the following categories and who are marginalized:
families belonging to a particular caste, ethnic, or religious group who are a minority and  
who are not seen as equals by others, such as, scheduled castes, scheduled tribes and 
minority communities.
Women headed households, where the husband maybe working outside, where the  
women are separated or deserted by husbands, or husband has died, where women have 
alcoholic husbands or are disabled.
families of those who work as daily wage labourers or are unemployed or destitute. 
families living in distant hamlets/tolas, where houses lie between villages on hilltops or in  
the fields, or areas cut off by rains.
families with disabled children or where there is no adult support. 
Migrant families, either those who migrate into the village, or those who migrate outside  
the village for livelihood and visit periodically.
The families categorized above may also have little information and knowledge on health rights, 
entitlements and the benefits of preventive health services. However, it is they who are most in need of information and services. Unfortunately these families stay uncounted because they are invisible 
and unreached. 
Nothing is more urgent than reaching out to such families. 
As a member of the community and an ASHA, you should know who are most vulnerable and 
likely to be unreached. You can build a trust with them so that their constraints are overcome 
and they are able to access their entitlements and services that are due to them. You can map 
the households and families that are socially excluded and do not access health services readily.  As an ASHA, you should proactively find out the reasons for not availing the services and inform 
them about their health entitlements and why they are needed.  Those families should be 
invited to participate in the PLA meetings, especially pregnant women and mothers with small children."
PLA Module for ASHA_English,18,"18 | PARTICIPATORY LEARNING AND A CTION (PLA) MODULE fOR ASHA fACILITATOR/ASHAMETHODS FOR CONDUCTING MEETING
ACTIVITY 1: Recap and review of previous meeting 
Ask all participants who were present in the previous meeting to raise their hands and    
make a note of it.
Then ask them to share their learning with those who were not present in the previous  
meeting.Help them to recall the games and important discussions from the previous meeting. 
You will now encourage the participants to actively take part in this meeting.  
ACTIVITY 2: ‘POWER WALK’ GAME— Developing an understanding of issues of inequity in the 
community- Poor and disadvantaged people in villages have high mortality and morbidity rates and 
also poor access to health services. Participants need to understand why some of them experience 
multiple barriers to access health care.
The ‘power walk’ game will help them understand issues of inequity at the village level, motivate 
them to include vulnerable people in meetings and also sensitize them towards the needs of the 
most marginalised. The game will also help participants to: 
Identify and understand why some people get left out in a programme even with the best of  
intentions. 
Plan with community members and other health care providers to identify them, and come  
up with possible strategies to include them.
Method for conducting the ‘Power walk’ game
Choose any eight volunteers from the group. 
Explain the game to the volunteers before the meeting starts. 
Each volunteer will be given a chit with a character that s/he will be representing. 
The volunteers will be asked to keep their role/character a secret. 
To start the game, you will ask them to stand in the center of the group in a line. 
You will ask a few questions related to availing of government services, those characters who  
have received the services as asked in the questions will take one step forward and those 
who did not will stay where they are. 
After each question/service mentioned, at least one participant will stay back and the rest will  
take one step forward.Only the characters who take one step forward are asked the later questions. Changing behaviours is not  easy, especially among the poor and marginalized, who may not 
perceive the immediate gains or when they have other priorities. Hence, you may need to 
undertake repeated visits initially. In spite of all efforts sometime there are families who may not 
access services, and under such circumstances, help may be needed from ANM or the VHSNC 
members."
PLA Module for ASHA_English,19,"MEETINGS ON MATERNAL AND NEwbORN HEALTH  | 19(For better participation of the characters and for making the game more interactive it is 
suggested that the participants rehearse prior to the meeting. While planning for the game 
each character should also  be given directions on when to stop while playing the game. You 
will also have to be  careful that the characters chosen are fictional, and that no sentiments 
are hurt. Even though the characters should be based on the local situations,  they should 
not represent any individual based on their social reality. While enacting the game, care  
should be taken that people should not be chosen to play a character based on their social 
background). 
Characters for the play: 
Below are examples 
of 8 characters. Other 
characters relevant for the specific area can 
also be included:
Character 1: Pregnant 
woman residing in a 
‘hard to reach’ area. 
Character 2: Pregnant 
woman residing near Anganwadi centre / in 
regular contact with the 
AWW.
Character 3: Daughter-
in-law of the village leader
Character 4: Mother 
with children less than five years of age who is 
unaware of immunization 
schedule.
Character 5: Mother 
who is a daily wage/
migrant labourer.
Character 6: Mother 
who has more than 6 
children.
Character 7: Mother who 
has had no schooling.
Character 8: Mother 
belonging to a 
marginalized (anyone category can be taken from the list mentioned above as per local context) community.
[NOTE: One or more characters for the game can be added or replaced based on the context, and 
number of characters can be decided based on the time available]
"
