question,answer,theme,keywords,Name of Document,Page no.
What materials are required for the meeting?,"The materials required for the meeting are strategies implementation format, script for story, transmission chart, register, story-based picture cards, notebook, and pen.",meeting materials required,"['materials', 'required', 'meeting', 'strategies implementation format', 'script', 'story', 'transmission chart', 'register', 'story-based picture cards', 'notebook', 'pen']",PLA Module for ASHA_English,"[75, 76]"
How long does the meeting take?,The meeting takes 1-2 hours.,meeting duration,"['long', 'meeting', 'take', '1-2', 'hours']",PLA Module for ASHA_English,"[75, 76]"
What method is used for conducting the meeting activities?,The methods used for conducting the meeting activities are story-telling and demonstration.,meeting activities,"['method', 'conducting', 'activities', 'story-telling', 'demonstration']",PLA Module for ASHA_English,"[75, 76]"
What are the activities for conducting the meeting?,"The activities for conducting the meeting are recap and review of previous meeting and the implementation of strategies, and story on worm infestation leading to undernutrition.",meeting activities,"['activities', 'conducting', 'recap', 'review', 'previous', 'implementation', 'strategies', 'story', 'worm', 'infestation', 'leading', 'undernutrition']",PLA Module for ASHA_English,"[75, 76]"
What should the participants do during the recap and review activity?,"During the recap and review activity, the participants should help recall the discussion from the previous meeting, discuss the progress of implementation of health related strategies, keep a record of the progress made, encourage participants to share their experiences and learning, discuss problems encountered and how they have resolved it, and discuss areas for improvement to make the intervention more effective.",recap and review activity,"['participants', 'recap', 'review', 'activity', 'recall', 'discussion', 'previous', 'progress', 'implementation', 'health', 'related', 'strategies', 'record', 'encourage', 'share', 'experiences', 'learning', 'problems', 'encountered', 'resolved', 'areas', 'improvement', 'intervention', 'effective']",PLA Module for ASHA_English,"[75, 76]"
What should be done during the story activity?,"During the story activity, a story on worm infestation leading to undernutrition should be narrated using picture cards to help participants understand the causes, effects, and management of worm infestation among children.",story activity,"['story', 'activity', 'worm', 'infestation', 'leading', 'undernutrition', 'narrated', 'picture', 'cards', 'participants', 'understand', 'causes', 'effects', 'management', 'children']",PLA Module for ASHA_English,"[75, 76]"
What happened in the story about Mina and her children?,"In the story, Mina cooked food without washing the vegetables properly, fed her children without washing her hands with soap, her daughter played in the mud and complained of itching, and her daughter was found to be thin, with a swollen abdomen and undernourished.",Story about Mina and her children,"['Mina', 'children', 'cooked food', 'washing vegetables', 'washing hands', 'soap', 'daughter', 'played in the mud', 'itching', 'thin', 'swollen abdomen', 'undernourished']",PLA Module for ASHA_English,"[75, 76]"
What did the ANM say about Mina's child?,"The ANM said that if Mina had not been washing her hands with soap before cooking, cleaning the vegetables before cutting them, and cleaning her hands with soap after cleaning the children after defecation, then her child may have worms in her stomach. The ANM gave de-worming syrup to both the children.",ANM's statement about Mina's child,"['ANM', 'Mina', 'washing hands', 'soap', 'cooking', 'cleaning vegetables', 'cleaning hands', 'defecation', 'worms', 'stomach', 'de-worming syrup']",PLA Module for ASHA_English,"[75, 76]"
What is the PLA module for ASHA facilitator/ASHA?,The PLA module for ASHA facilitator/ASHA is a participatory learning and action module.,PLA module for ASHA facilitator/ASHA,"['PLA module', 'ASHA facilitator', 'ASHA', 'participatory learning', 'action module']",PLA Module for ASHA_English,"[75, 76]"
Where are worms present?,"Worms are present in soil, water, and contaminated food.",Presence of worms,"['worms', 'soil', 'water', 'contaminated food']",PLA Module for ASHA_English,"[75, 76]"
How do worms enter the body?,Worms enter the body through skin and contaminated food.,Entry of worms into the body,"['worms', 'enter', 'body', 'skin', 'contaminated food']",PLA Module for ASHA_English,"[75, 76]"
Where do worms thrive?,Worms thrive in food that one eats.,Worms,"['worms', 'thrive', 'food', 'eats']",PLA Module for ASHA_English,"[75, 76]"
Where do worms lay eggs?,Worms lay eggs in the intestine that is passed in the faeces.,Worms,"['worms', 'lay eggs', 'intestine', 'faeces']",PLA Module for ASHA_English,"[75, 76]"
What are the effects of worms on the body?,Worms make the body weak and tired.,Worms,"['worms', 'effects', 'body', 'weak', 'tired']",PLA Module for ASHA_English,"[75, 76]"
Where do worms live?,Worms live in the intestine.,Worms,"['worms', 'live', 'intestine']",PLA Module for ASHA_English,"[75, 76]"
What should be done to prevent the problem of worm infestation?,Participants should use foot wear in the fields to keep away germs and worms in the soil from getting to the feet.,Worm Infestation,"['prevent', 'problem', 'worm infestation', 'participants', 'foot wear', 'fields', 'keep away', 'germs', 'worms', 'soil', 'getting', 'feet']",PLA Module for ASHA_English,"[75, 76]"
What should be discussed about various types of intestinal worms?,Various types of intestinal worms should be discussed using pictures to help participants recognize them.,Various types of intestinal worms,"['discussed', 'types', 'intestinal worms', 'pictures', 'participants', 'recognize']",PLA Module for ASHA_English,"[75, 76]"
What should be shared with the group regarding prevention of worm infestation?,The transmission chart with the importance of personal hygiene and use of foot wear as prevention should be shared with the group.,Prevention of worm infestation,"['shared', 'group', 'transmission chart', 'importance', 'personal hygiene', 'foot wear', 'prevention']",PLA Module for ASHA_English,"[75, 76]"
What should be noted to help the participants when identifying strategies?,All the responses should be noted to help the participants when they are identifying strategies based on the solutions and the 'but what?' game.,Identifying strategies,"['noted', 'participants', 'identifying strategies', 'responses', 'solutions', ""'but what?' game""]",PLA Module for ASHA_English,"[75, 76]"
What is the purpose of the meeting on maternal and newborn health?,"To help participants review the main discussion of the previous meeting, review the implementation and progress of strategies, discuss safe abortion practices, and know about available and accessible services for safe abortion.",meeting on maternal and newborn health,"['purpose', 'review', 'implementation', 'progress', 'strategies', 'safe abortion practices', 'available services', 'accessible services']",PLA Module for ASHA_English,"[82, 83]"
What are the health risks of early pregnancy?,"Early marriage and early child bearing can lead to health risks such as obstructed delivery, prolonged labor, haemorrhage, infection, rupture of uterus, fistula, anemia, premature birth, spontaneous abortion, still births, and pre-eclampsia.",health risks of early pregnancy,"['early marriage', 'early child bearing', 'health risks', 'obstructed delivery', 'prolonged labor', 'haemorrhage', 'infection', 'rupture of uterus', 'fistula', 'anemia', 'premature birth', 'spontaneous abortion', 'still births', 'pre-eclampsia']",PLA Module for ASHA_English,"[82, 83]"
What complications can occur in adolescent pregnancies?,"Complications that can happen in adolescent pregnancies include hypertensive disorders, pre-eclampsia, postpartum bleeding, prematurity, and risks to the newborn baby.",complications in adolescent pregnancies,"['complications', 'adolescent pregnancies', 'hypertensive disorders', 'pre-eclampsia', 'postpartum bleeding', 'prematurity', 'risks to the newborn baby']",PLA Module for ASHA_English,"[82, 83]"
What important messages are given to the participants?,"Participants learn about the risks of early/adolescent pregnancy, availability and accessibility of contraceptives, engaging and influencing other stakeholders to address social pressures, and the importance of ensuring confidentiality as an ASHA worker.",important messages to participants,"['risks of early/adolescent pregnancy', 'availability of contraceptives', 'accessibility of contraceptives', 'engaging stakeholders', 'influencing stakeholders', 'social pressures', 'confidentiality', 'ASHA worker']",PLA Module for ASHA_English,"[82, 83]"
How should the facilitator conclude the meeting?,"The facilitator should summarize the discussions of the sessions, briefly tell them about the content of the next meeting which is about access to safe abortion services, finalize and fix a date, time, and place for the next meeting, and then end the meeting.",conclusion of the meeting,"['summary', 'discussions', 'sessions', 'content of next meeting', 'access to safe abortion services', 'date', 'time', 'place']",PLA Module for ASHA_English,"[82, 83]"
What materials are required for the meeting on access to safe abortion services?,"The materials required are strategies implementation format, script for story, story-based picture cards, pen, and notebook.",materials required,"['strategies implementation format', 'script for story', 'story-based picture cards', 'pen', 'notebook']",PLA Module for ASHA_English,"[82, 83]"
What methods are used for conducting meeting activities 1 and 2?,"The methods used are recalling the discussion from the previous meeting, discussing the progress of implementation of health-related strategies, keeping a record of the progress made, encouraging participants to share experiences and learning, discussing problems encountered and resolutions, and discussing areas for improvement.",methods used,"['recalling the discussion', 'progress of implementation', 'health-related strategies', 'record of the progress', 'participants to share experiences', 'problems encountered', 'areas for improvement']",PLA Module for ASHA_English,"[82, 83]"
What is the focus of activity 3 in the meeting?,"Activity 3 focuses on aspects of access to safe abortion services, the right time for medical termination of pregnancy, effects of unsafe abortion, and the rights associated with it.",focus of activity,"['aspects of access', 'right time for medical termination', 'effects of unsafe abortion', 'rights associated']",PLA Module for ASHA_English,"[82, 83]"
Can you narrate the story on safe abortion?,"Anita, who was 19 years old and had completed high school, got married to Suresh who was 21 years old. She became pregnant immediately after marriage and when her baby was one year old, she became pregnant again. Anita wanted an abortion but her husband and his parents did not allow it. She decided to get the abortion done and sought advice from her neighbor who recommended consulting the ASHA.",narrate the story,"['Anita', '19 years old', 'completed high school', 'married to Suresh', 'pregnant immediately after marriage', 'baby was one year old', 'husband and his parents did not allow', 'abortion done', 'sought advice from her neighbor', 'recommended consulting the ASHA']",PLA Module for ASHA_English,"[82, 83]"
What is the purpose of the meeting on prevention and management of Tuberculosis?,"To help participants review the main discussion of the previous meeting, review the implementation and progress of strategies, discuss about prevention and management of tuberculosis, and discuss about available treatment for multi drug resistant Tuberculosis.",Purpose of the meeting on prevention and management of Tuberculosis,"['meeting', 'prevention', 'management', 'Tuberculosis', 'participants', 'review', 'discussion', 'implementation', 'progress', 'strategies', 'available treatment', 'multi drug resistant Tuberculosis']",PLA Module for ASHA_English,"[88, 89]"
What materials are required for the meeting on prevention and management of Tuberculosis?,"Strategies implementation format, script for story, story based picture cards, pen, notebook.",Materials required for the meeting on prevention and management of Tuberculosis,"['meeting', 'prevention', 'management', 'Tuberculosis', 'Strategies implementation format', 'script for story', 'story based picture cards', 'pen', 'notebook']",PLA Module for ASHA_English,"[88, 89]"
How long does the meeting on prevention and management of Tuberculosis usually take?,1-2 Hours.,Duration of the meeting on prevention and management of Tuberculosis,"['meeting', 'prevention', 'management', 'Tuberculosis', '1-2 Hours']",PLA Module for ASHA_English,"[88, 89]"
What method is used for conducting meeting activities 1 and 2?,Recap and review of previous meeting and the implementation of strategies.,Method used for conducting meeting activities 1 and 2,"['conducting meeting activities 1 and 2', 'Recap', 'review', 'previous meeting', 'implementation', 'strategies']",PLA Module for ASHA_English,"[88, 89]"
What are the steps involved in conducting meeting activities 1 and 2?,"Help the participants to recall the discussion from the previous meeting, discuss the progress of implementation of health related strategies decided by the group, keep a record of the progress made for the chosen strategies, encourage participants to share their experiences and learning during implementation, discuss about the problems encountered and how they have resolved it, and discuss about areas for improvement to make the intervention more effective.",Steps involved in conducting meeting activities 1 and 2,"['conducting meeting activities 1 and 2', 'participants', 'recall', 'discussion', 'previous meeting', 'progress', 'implementation', 'health related strategies', 'group', 'record', 'chosen strategies', 'experiences', 'learning', 'implementation', 'problems', 'resolution', 'areas for improvement', 'intervention', 'effective']",PLA Module for ASHA_English,"[88, 89]"
What is the purpose of activity 3 in the meeting?,To develop an understanding about tuberculosis.,activity purpose,"['activity 3', 'meeting']",PLA Module for ASHA_English,"[88, 89]"
What should the participants share during activity 3?,What they already know about TB (use local term).,participant sharing,"['activity 3', 'participants', 'share', 'TB', 'local term']",PLA Module for ASHA_English,"[88, 89]"
What is tuberculosis?,"Tuberculosis is an infection that can affect any part of the body but most commonly affects the lungs. It is transmitted from person to person through droplets from the throat of the people who has the disease. Sometimes it can spread to other parts of the body, like the abdomen, bones and other internal organs. TB is both preventable and curable. Emphasize that early recognition of TB can help in prompt treatment and is curable only when treatment is taken as advised.",tuberculosis definition,"['tuberculosis', 'infection', 'affect', 'body', 'lungs', 'transmitted', 'droplets', 'throat', 'spread', 'abdomen', 'bones', 'internal organs', 'preventable', 'curable', 'early recognition', 'treatment']",PLA Module for ASHA_English,"[88, 89]"
What can help in prompt treatment of tuberculosis?,Early recognition of TB.,prompt treatment,"['prompt treatment', 'tuberculosis', 'early recognition']",PLA Module for ASHA_English,"[88, 89]"
When is tuberculosis curable?,Tuberculosis is curable only when treatment is taken as advised.,tuberculosis curability,"['tuberculosis', 'curable', 'treatment', 'advised']",PLA Module for ASHA_English,"[88, 89]"
What can be done to make the intervention more effective?,Discuss about areas for improvement.,Intervention effectiveness,"['make', 'intervention', 'effective', 'discuss', 'areas', 'improvement']",PLA Module for ASHA_English,"[88, 89]"
What is the purpose of meetings on maternal and newborn health?,Supporting a person with disease by reminding them to take their medicine regularly and raising awareness about TB.,maternal and newborn health,"['purpose', 'meetings']",PLA Module for ASHA_English,"[91, 92]"
How can you support a person with a disease?,By reminding them to take their medicine regularly and providing support and friendship.,supporting a person with a disease,"['support', 'person', 'disease']",PLA Module for ASHA_English,"[91, 92]"
What should you do to help a person with a disease feel that they are not alone?,"By practicing measures like keeping windows and doors open, avoiding crowded areas for a long period, keeping healthy, and getting enough sunlight.",helping a person with a disease feel not alone,"['help', 'person', 'disease', 'feel', 'alone']",PLA Module for ASHA_English,"[91, 92]"
What are the precautions to be taken for multi-drug resistant TB (MDR)?,"Covering the mouth with a handkerchief when coughing and sneezing, being careful while spitting, and taking medicines regularly for the entire duration as advised by the doctor.",precautions for multi-drug resistant TB (MDR),"['precautions', 'multi-drug resistant TB (MDR)']",PLA Module for ASHA_English,"[91, 92]"
Who should TB patients avoid close contact with?,TB patients should avoid close contact with young children.,avoiding close contact with TB patients,"['avoid', 'close contact', 'TB patients']",PLA Module for ASHA_English,"[91, 92]"
What is the recommended immunization for all children?,All children should be immunized with BCG soon after birth.,Immunization,"['recommended immunization', 'children', 'BCG', 'birth']",PLA Module for ASHA_English,"[91, 92]"
How is TB transmitted?,TB is transmitted by a person with an active TB through tiny droplets.,TB Transmission,"['TB', 'transmitted', 'person', 'active TB', 'tiny droplets']",PLA Module for ASHA_English,"[91, 92]"
What are some common myths about TB transmission?,"TB is not transmitted by coughing, touching, holding hands, eating together or bathing at the same place, sneezing, sharing food or drink, shouting, touching bed linens or toilet seats, spitting, sharing utensils, talking loudly, or kissing without covering mouth and nose.",TB Transmission Myths,"['common myths', 'TB transmission', 'coughing', 'touching', 'holding hands', 'eating together', 'bathing', 'sneezing', 'sharing food', 'drink', 'shouting', 'touching bed linens', 'toilet seats', 'spitting', 'sharing utensils', 'talking loudly', 'kissing', 'covering mouth', 'nose']",PLA Module for ASHA_English,"[91, 92]"
What do participants learn in the Participatory Learning and Action (PLA) module for ASHA facilitators?,"Participants learn how tuberculosis is transmitted, how to prevent it, the importance of early diagnosis, and the availability of DOTS treatment.",Participatory Learning and Action (PLA),"['participants', 'learn', 'tuberculosis', 'transmitted', 'prevent', 'importance', 'early diagnosis', 'availability', 'DOTS treatment']",PLA Module for ASHA_English,"[91, 92]"
Where is DOTS treatment available?,"DOTS treatment is available free of cost at all Government Health facilities like PHC, CHC, and District hospital.",DOTS Treatment Availability,"['DOTS treatment', 'available', 'free of cost', 'Government Health facilities', 'PHC', 'CHC', 'District hospital']",PLA Module for ASHA_English,"[91, 92]"
What should be done at the end of a meeting on maternal and newborn health?,"Summarize the discussions, inform participants about the content of the next meeting on prevention and management of malaria, and finalize the date, time, and place for the next meeting.",Meeting on Maternal and Newborn Health,"['end', 'meeting', 'maternal and newborn health', 'summarize', 'discussions', 'inform participants', 'content', 'next meeting', 'prevention and management of malaria', 'finalize', 'date', 'time', 'place']",PLA Module for ASHA_English,"[91, 92]"
What is the purpose of the meeting?,"To help participants review the main discussion of the previous meeting, review the implementation and progress of strategies, and understand the concepts of sex and gender.",meeting purpose,"['purpose', 'meeting', 'participants', 'review', 'discussion', 'previous meeting', 'implementation', 'progress', 'strategies', 'concepts', 'sex', 'gender']",PLA Module for ASHA_English,"[96, 97]"
What materials are required for the meeting?,"Flex depicting the life cycle of violence in women's life, chart paper, strategies implementation format, pen, and notebook.",meeting materials,"['materials', 'required', 'meeting', 'flex', 'life cycle', 'violence', ""women's life"", 'chart paper', 'strategies implementation format', 'pen', 'notebook']",PLA Module for ASHA_English,"[96, 97]"
How long does the meeting usually take?,1-2 hours.,meeting duration,"['duration', 'meeting', 'usually', '1-2 hours']",PLA Module for ASHA_English,"[96, 97]"
What methods are used for conducting meeting activities 1 and 2?,"Recap and review of previous meeting, discussion of progress of implementation of health related strategies, keeping a record of progress, encouraging participants to share experiences and learning, discussing problems encountered and resolutions, and discussing areas for improvement.",meeting activities 1 and 2 methods,"['methods', 'conducting', 'meeting activities 1 and 2', 'recap', 'review', 'previous meeting', 'discussion', 'progress', 'implementation', 'health related strategies', 'record', 'encouraging', 'participants', 'share', 'experiences', 'learning', 'problems', 'encountered', 'resolutions', 'areas', 'improvement']",PLA Module for ASHA_English,"[96, 97]"
What method is used for conducting meeting activity 3?,Role play and interactive discussion using flex.,meeting activity 3 method,"['method', 'conducting', 'meeting activity 3', 'role play', 'interactive discussion', 'flex']",PLA Module for ASHA_English,"[96, 97]"
How does the discussion on gender norms and restrictions start?,The discussion starts with a role play involving a man and a woman.,gender norms and restrictions,"['discussion', 'gender norms', 'restrictions', 'start', 'role play', 'involving', 'man', 'woman']",PLA Module for ASHA_English,"[96, 97]"
What are some examples of gender norms and restrictions mentioned in the role play?,"Examples include societal expectations of men being intelligent and powerful, women facing restrictions on their choices and actions, and the unequal treatment of boys and girls.",gender norms and restrictions,"['examples', 'gender norms', 'restrictions', 'mentioned', 'role play', 'societal expectations', 'men', 'intelligent', 'powerful', 'women', 'facing', 'restrictions', 'choices', 'actions', 'unequal treatment', 'boys', 'girls']",PLA Module for ASHA_English,"[96, 97]"
What is the cause of inequality between men and women?,Patriarchy and unequal power relations.,inequality between men and women,"['cause', 'inequality', 'men', 'women', 'patriarchy', 'unequal power relations']",PLA Module for ASHA_English,"[96, 97]"
How can equality be achieved?,"By treating each other with respect, understanding each other's needs, and changing societal thinking.",achieving equality,"['equality', 'achieved', 'treating', 'respect', 'understanding', 'needs', 'changing', 'societal thinking']",PLA Module for ASHA_English,"[96, 97]"
Are the attributes of men and women inborn or due to socialization?,The attributes are largely due to socialization and societal expectations.,attributes of men and women,"['attributes', 'men', 'women', 'inborn', 'socialization', 'societal expectations']",PLA Module for ASHA_English,"[96, 97]"
Can the attributes of men and women be interchanged?,"This can be discussed further, exploring society's reaction to men who show emotions and expectations of men's behavior.",Gender Roles,"['attributes', 'men', 'women', 'interchanged', 'society', 'reaction', 'emotions', 'expectations', 'behavior']",PLA Module for ASHA_English,"[96, 97]"
What does PLA stand for?,Participatory Learning and Action,PLA,"['PLA', 'stand']",PLA Module for ASHA_English,"[98, 99]"
Who are ASHA workers?,ASHA workers are frontline healthcare workers in India.,ASHA workers,"['ASHA', 'workers']",PLA Module for ASHA_English,"[98, 99]"
What does the term 'sex' refer to?,The term 'sex' refers to biological and genetic matters.,sex,"['term', 'sex', 'refer', 'biological', 'genetic', 'matters']",PLA Module for ASHA_English,"[98, 99]"
What does the term 'gender' refer to?,"The term 'gender' refers to socially constructed roles, responsibilities, and expectations of men and women in a given culture or society.",gender,"['term', 'gender', 'refer', 'socially', 'constructed', 'roles', 'responsibilities', 'expectations', 'men', 'women', 'given', 'culture', 'society']",PLA Module for ASHA_English,"[98, 99]"
"Where can gender roles, responsibilities, and expectations be learned from?","Gender roles, responsibilities, and expectations can be learned from family, friends, communities, opinion leaders, religious institutions, schools, workplace, advertisements, and the media.","gender roles, responsibilities, and expectations","['gender', 'roles', 'responsibilities', 'expectations', 'learned', 'family', 'friends', 'communities', 'opinion', 'leaders', 'religious', 'institutions', 'schools', 'workplace', 'advertisements', 'media']",PLA Module for ASHA_English,"[98, 99]"
What is the life cycle of violence in women?,The life cycle of violence in women refers to the different types of gender-based violence that occur at different times in a woman's life.,life cycle of violence in women,"['life cycle', 'violence', 'women']",PLA Module for ASHA_English,"[98, 99]"
Is violence only inflicted by men on women?,"No, it is possible for men to experience gender-based violence as well.",violence inflicted by men on women,"['violence', 'inflicted', 'men', 'women']",PLA Module for ASHA_English,"[98, 99]"
Where does most violence against women take place?,Most violence against women takes place in the confines of the home or neighborhood.,violence against women,"['violence', 'women']",PLA Module for ASHA_English,"[98, 99]"
What are the different types of gender-based violence that occur in a woman's life cycle?,"The different types of gender-based violence that occur in a woman's life cycle include prenatal sex selective elimination, infancy, childhood, adolescence, adult, and old age.",types of gender-based violence in a woman's life cycle,"['types', 'gender-based violence', ""woman's life cycle""]",PLA Module for ASHA_English,"[98, 99]"
What are some forms of violence that women face in their childhood?,"Some forms of violence that women face in their childhood include not providing adequate nutrition or unequal food provision, depriving them of health care, denial of access to life skills education programs and recreational activities, forced childhood marriages, sexual abuse, and trafficking for abuse and labor.",violence faced by women in their childhood,"['violence', 'women', 'childhood']",PLA Module for ASHA_English,"[98, 99]"
What are some forms of violence that women face as adults?,"Some forms of violence that women face as adults include verbal abuse, physical violence, repeated fault finding, compelling women to engage in humiliating acts often in public, blaming and shaming for giving birth to a girl child, forced abortion, acid attacks, denial of opportunities, limiting access to health care, restricting movements, rape in marriage or otherwise, dowry-related harassment, sexual harassment at the workplace, and sexual harassment either online or through mobiles, cell phones, etc.",Forms of violence against women as adults,"['verbal abuse', 'physical violence', 'repeated fault finding', 'compelling women', 'humiliating acts', 'blaming and shaming', 'forced abortion', 'acid attacks', 'denial of opportunities', 'limiting access to health care', 'restricting movements', 'rape in marriage', 'dowry-related harassment', 'sexual harassment at the workplace', 'sexual harassment online', 'sexual harassment through mobiles']",PLA Module for ASHA_English,"[98, 99]"
What are some forms of violence that women face in adolescence?,"Some forms of violence that women face in adolescence include eve teasing, molestation, rape, sexual harassment, trafficking, kidnapping, forced prostitution, early marriages, denial of education and life skill opportunities, limited exposure for self-development, honor killing, and sexual harassment either online or through mobiles, cell phones, etc.",Forms of violence against women in adolescence,"['eve teasing', 'molestation', 'rape', 'sexual harassment', 'trafficking', 'kidnapping', 'forced prostitution', 'early marriages', 'denial of education', 'limited exposure for self-development', 'honor killing', 'sexual harassment online', 'sexual harassment through mobiles']",PLA Module for ASHA_English,"[98, 99]"
What are the six stages of violence in a woman's life?,"The six stages of violence in a woman's life are childhood, infancy, adolescence, adulthood, old age, and prenatal.",Stages of violence in a woman's life,"['childhood', 'infancy', 'adolescence', 'adulthood', 'old age', 'prenatal']",PLA Module for ASHA_English,"[98, 99]"
What are some invisible aspects of violence?,"Some invisible aspects of violence include verbal abuse, denial of food, education, mobility, resources, etc.",Invisible aspects of violence,"['verbal abuse', 'denial of food', 'denial of education', 'denial of mobility', 'denial of resources']",PLA Module for ASHA_English,"[98, 99]"
What is domestic violence?,"Domestic violence is one of the most common forms of violence against women, inflicted by the husband or other close family members.",Domestic violence,"['most common forms of violence against women', 'inflicted by the husband', 'inflicted by other close family members']",PLA Module for ASHA_English,"[98, 99]"
What is the process of socialization responsible for?,The process of socialization is largely responsible for an individual's development.,socialization,"['process', 'responsible', 'individual', 'development']",PLA Module for ASHA_English,"[98, 99]"
Are all women vulnerable to violence?,"Yes, all women are vulnerable to violence.",violence against women,"['women', 'vulnerable', 'violence']",PLA Module for ASHA_English,"[98, 99]"
Is violence against women always visible?,"No, violence against women is not always visible.",violence against women,"['violence', 'women', 'visible']",PLA Module for ASHA_English,"[98, 99]"
What can violence against women have serious consequences on?,Violence against women can have serious consequences on their physical and mental health.,violence against women,"['violence', 'women', 'consequences', 'physical', 'mental', 'health']",PLA Module for ASHA_English,"[98, 99]"
What should be done at the end of the meeting?,"At the end of the meeting, the discussions of the sessions should be summarized, participants should be informed about the content of the next meeting which is about preparing and planning for a cluster level community meeting or an evaluation meeting, and a date, time, and place for the next meeting should be finalized and fixed.",meeting,"['end', 'meeting', 'discussions', 'sessions', 'participants', 'content', 'next', 'date', 'time', 'place']",PLA Module for ASHA_English,"[98, 99]"
What can ASHAs do at the end of the meeting?,ASHAs can take an opinion from participants of different groups regarding which of the two following meetings they would like to have first: holding the cluster community meeting or the evaluation of their overall activities over the past few years.,ASHAs activities,"['ASHAs', 'meeting', 'opinion', 'participants', 'groups', 'cluster community meeting', 'evaluation', 'overall activities', 'past few years']",PLA Module for ASHA_English,"[98, 99]"
What is the purpose of the meeting on maternal and newborn health?,The purpose of the meeting is to discuss the life cycle of violence in women's lives.,maternal and newborn health,"['purpose', 'meeting', 'discuss', 'life cycle', 'violence', ""women's lives""]",PLA Module for ASHA_English,"[99, 100]"
What forms of violence are discussed in the meeting?,"The meeting discusses physical, mental, emotional, economical, and sexual violence.",forms of violence,"['violence', 'discussed', 'physical', 'mental', 'emotional', 'economical', 'sexual']",PLA Module for ASHA_English,"[99, 100]"
What are some invisible aspects of violence?,"Some invisible aspects of violence include verbal abuse, denial of food, education, mobility, and resources.",invisible aspects of violence,"['invisible aspects', 'violence', 'include', 'verbal abuse', 'denial', 'food', 'education', 'mobility', 'resources']",PLA Module for ASHA_English,"[99, 100]"
What is domestic violence?,"Domestic violence is one of the most common forms of violence against women, inflicted by the husband or other close family members.",domestic violence,"['domestic violence', 'common forms', 'violence against women', 'inflicted', 'husband', 'close family members']",PLA Module for ASHA_English,"[99, 100]"
What is the importance of socialization in an individual's development?,The process of socialization is largely responsible for an individual's development.,importance of socialization in an individual's development,"['importance', 'socialization', ""individual's development"", 'process', 'largely responsible']",PLA Module for ASHA_English,"[99, 100]"
Are all women vulnerable to violence?,"Yes, all women are vulnerable to violence.",violence against women,"['women', 'violence']",PLA Module for ASHA_English,"[99, 100]"
Is violence against women always visible?,"No, violence against women is not always visible.",violence against women,"['violence', 'visible']",PLA Module for ASHA_English,"[99, 100]"
What are the consequences of violence against women?,Violence against women can have serious consequences on their physical and mental health.,consequences of violence against women,"['consequences', 'violence', 'women', 'physical', 'mental', 'health']",PLA Module for ASHA_English,"[99, 100]"
What should be done at the end of the meeting?,"Summarize the discussions, inform about the content of the next meeting, and finalize a date, time, and place for the next meeting.",meeting,"['meeting', 'end', 'summarize', 'discussions', 'inform', 'content', 'next', 'date', 'time', 'place']",PLA Module for ASHA_English,"[99, 100]"
What can ASHAs do after the meeting?,ASHAs can take an opinion from participants regarding the next meeting they would like to have.,meeting,"['ASHAs', 'meeting', 'opinion', 'participants', 'next']",PLA Module for ASHA_English,"[99, 100]"
What is the purpose of meeting number 28?,The purpose of meeting number 28 is to plan for the cluster community meeting.,purpose,"['meeting number 28', 'plan', 'cluster community meeting']",PLA Module for ASHA_English,"[99, 100]"
What activities are involved in meeting number 28?,"The activities in meeting number 28 include recap and review of the previous meeting, discussing the progress of implementation, sharing experiences and learning, discussing problems and improvements.",activities,"['meeting number 28', 'recap', 'review', 'previous meeting', 'progress', 'implementation', 'experiences', 'learning', 'problems', 'improvements']",PLA Module for ASHA_English,"[99, 100]"
What is the method for conducting meeting activities 1 and 2?,The method for conducting meeting activities 1 and 2 is brain storming and interactive discussion.,method,"['meeting activities 1', 'meeting activities 2', 'brainstorming', 'interactive discussion']",PLA Module for ASHA_English,"[99, 100]"
What is the purpose of activities 3 and 4 in the meeting?,The purpose of activities 3 and 4 is to identify representatives from each group for the planning meeting at the cluster level.,purpose,"['activities 3', 'activities 4', 'identify representatives', 'planning meeting', 'cluster level']",PLA Module for ASHA_English,"[99, 100]"
What will happen at the planning meeting at the cluster level?,"At the planning meeting at the cluster level, group representatives will come together to decide what to share with the larger community and prepare a tentative list of activities for the cluster meeting.",planning meeting,"['cluster level', 'group representatives', 'share', 'larger community', 'tentative list', 'activities', 'cluster meeting']",PLA Module for ASHA_English,"[99, 100]"
What is the purpose of holding the community meeting?,To inform the community of the factors that affect the health outcomes of members in the community. To share about their activities over the past several months with the larger community.,Community Meeting,"['purpose', 'holding', 'community', 'meeting', 'inform', 'factors', 'affect', 'health', 'outcomes', 'members', 'share', 'activities', 'past', 'several', 'months', 'larger']",PLA Module for ASHA_English,"[101, 102]"
What is the purpose of the PLA initiative?,The PLA initiative aims to improve health through the involvement of communities.,PLA Initiative,"['purpose', 'PLA', 'initiative', 'aims', 'improve', 'health', 'involvement', 'communities']",PLA Module for ASHA_English,"[101, 102]"
